Region_Name,Legal_Name
동대문구,휘경동
동대문구,이문동
중랑구,면목동
중랑구,상봉동
중랑구,상봉동
중랑구,중화동
중랑구,중화동
강동구,강동구
강동구,강일동
강동구,암사동
강동구,암사동
강동구,천호동
강서구,강서구
송파구,송파구
종로구,교남동
중구,중구
동작구,동작구
중구,중림동
은평구,은평구
,서울특별시
마포구,마포구
양천구,양천구
종로구,청운동
종로구,신교동
종로구,궁정동
종로구,효자동
종로구,창성동
종로구,통의동
종로구,적선동
종로구,통인동
종로구,누상동
종로구,누하동
종로구,옥인동
종로구,체부동
종로구,필운동
종로구,내자동
종로구,사직동
종로구,도렴동
종로구,당주동
종로구,내수동
종로구,신문로1가
종로구,신문로2가
종로구,청진동
종로구,서린동
종로구,수송동
종로구,중학동
종로구,종로1가
종로구,공평동
종로구,관훈동
종로구,견지동
종로구,와룡동
종로구,권농동
종로구,운니동
종로구,익선동
종로구,경운동
종로구,관철동
종로구,인사동
종로구,낙원동
종로구,종로2가
종로구,팔판동
종로구,삼청동
종로구,안국동
종로구,소격동
종로구,화동
종로구,사간동
종로구,송현동
종로구,가회동
종로구,재동
종로구,계동
종로구,훈정동
종로구,봉익동
종로구,돈의동
종로구,장사동
종로구,관수동
종로구,종로3가
종로구,인의동
종로구,예지동
종로구,원남동
종로구,연지동
종로구,종로4가
종로구,효제동
종로구,종로5가
종로구,종로6가
종로구,충신동
종로구,동숭동
종로구,혜화동
종로구,명륜1가
종로구,명륜2가
종로구,명륜4가
종로구,명륜3가
종로구,창신동
종로구,숭인동
종로구,교남동
서초구,방배동
서초구,양재동
서초구,우면동
서초구,원지동
서초구,잠원동
서초구,반포동
서초구,서초동
서초구,내곡동
서초구,염곡동
서초구,신원동
강남구,역삼동
강남구,개포동
강남구,청담동
강남구,삼성동
강남구,대치동
강남구,신사동
강남구,논현동
강남구,압구정동
강남구,세곡동
강남구,자곡동
강남구,율현동
강남구,일원동
강남구,수서동
강남구,도곡동
송파구,잠실동
송파구,신천동
송파구,풍납동
송파구,송파동
송파구,석촌동
송파구,삼전동
송파구,가락동
송파구,문정동
송파구,장지동
송파구,방이동
송파구,오금동
송파구,거여동
송파구,마천동
강동구,명일동
강동구,고덕동
강동구,상일동
강동구,길동
강동구,둔촌동
강동구,암사동
강동구,성내동
강동구,천호동
종로구,원서동
종로구,세종로
종로구,묘동
마포구,아현동
종로구,송월동
종로구,홍파동
종로구,교북동
종로구,평창동
종로구,부암동
종로구,홍지동
종로구,신영동
종로구,무악동
중구,봉래동1가
영등포구,영등포동5가
영등포구,영등포동6가
영등포구,영등포동7가
영등포구,영등포동8가
영등포구,여의도동
영등포구,당산동1가
영등포구,당산동2가
서대문구,창천동
서대문구,연희동
서대문구,홍은동
서대문구,북가좌동
서대문구,남가좌동
구로구,신도림동
구로구,구로동
구로구,가리봉동
구로구,고척동
구로구,개봉동
구로구,오류동
구로구,궁동
구로구,온수동
구로구,천왕동
구로구,항동
영등포구,영등포동
영등포구,영등포동1가
영등포구,영등포동2가
영등포구,영등포동3가
종로구,평동
용산구,이촌동
용산구,이태원동
용산구,한남동
용산구,동빙고동
용산구,서빙고동
용산구,주성동
용산구,용산동6가
용산구,보광동
성동구,상왕십리동
종로구,구기동
성동구,하왕십리동
성동구,홍익동
성동구,도선동
성동구,마장동
성동구,사근동
성동구,행당동
성동구,응봉동
